alpha,mean_glcm_contrast,sem,count
0.000000000000000000e+00,8.930839940647540232e+01,6.365548914781656853e-01,1.224000000000000000e+03
1.000000000000000056e-01,9.185750186582187382e+01,7.429453307196230982e-01,1.224000000000000000e+03
2.000000000000000111e-01,9.445925362230453004e+01,8.374289939548490436e-01,1.224000000000000000e+03
3.000000000000000444e-01,9.786735129465284899e+01,9.900969923902218639e-01,1.224000000000000000e+03
4.000000000000000222e-01,1.019803029618627050e+02,1.204902526133497132e+00,1.224000000000000000e+03
5.000000000000000000e-01,1.064619935723704742e+02,1.406567704731975565e+00,1.224000000000000000e+03
6.000000000000000888e-01,1.123141865608864691e+02,1.623938120988269729e+00,1.224000000000000000e+03
7.000000000000000666e-01,1.192730877930475657e+02,1.934352093229425140e+00,1.224000000000000000e+03
8.000000000000000444e-01,1.270345666695372699e+02,2.356217197539927088e+00,1.224000000000000000e+03
9.000000000000000222e-01,1.348067416815490276e+02,2.773616734499121161e+00,1.224000000000000000e+03
1.000000000000000000e+00,1.421615490902643444e+02,3.074501417274036807e+00,1.224000000000000000e+03
1.100000000000000089e+00,1.494956555977376524e+02,3.340905361008743135e+00,1.224000000000000000e+03
1.200000000000000178e+00,1.567296086494312419e+02,3.587912733071137783e+00,1.224000000000000000e+03
1.300000000000000044e+00,1.637395951878227152e+02,3.823966141218491099e+00,1.224000000000000000e+03
1.400000000000000133e+00,1.705563403635132147e+02,4.046342914296034543e+00,1.224000000000000000e+03
1.500000000000000000e+00,1.772226789315792246e+02,4.232622659203038040e+00,1.224000000000000000e+03
1.600000000000000089e+00,1.835367190472424284e+02,4.386928374730459268e+00,1.224000000000000000e+03
1.700000000000000178e+00,1.896775516181025694e+02,4.492658010524340995e+00,1.224000000000000000e+03
1.800000000000000044e+00,1.956242319146037971e+02,4.542825723097423385e+00,1.224000000000000000e+03
1.900000000000000133e+00,2.015598417080724403e+02,4.567823457616570160e+00,1.224000000000000000e+03
2.000000000000000000e+00,2.076143872672752195e+02,4.566651231262899735e+00,1.224000000000000000e+03
