alpha,mean_glcm_contrast,sem,count
0.000000000000000000e+00,9.566846700935322190e+01,4.776156623212697849e-01,1.224000000000000000e+03
1.000000000000000056e-01,9.925685534050271031e+01,5.895758340765521188e-01,1.224000000000000000e+03
2.000000000000000111e-01,1.025342816185149815e+02,6.953174283217130602e-01,1.224000000000000000e+03
3.000000000000000444e-01,1.054604702095874984e+02,7.874589629909841682e-01,1.224000000000000000e+03
4.000000000000000222e-01,1.083611639342254165e+02,9.629741631162321847e-01,1.224000000000000000e+03
5.000000000000000000e-01,1.110495984225169224e+02,1.234444541394433825e+00,1.224000000000000000e+03
6.000000000000000888e-01,1.143460995471264710e+02,1.570211620204519987e+00,1.224000000000000000e+03
7.000000000000000666e-01,1.185919989740159934e+02,1.921971021999096640e+00,1.224000000000000000e+03
8.000000000000000444e-01,1.246911907096561691e+02,2.341113517070573025e+00,1.224000000000000000e+03
9.000000000000000222e-01,1.332448420585243127e+02,2.792812832459184325e+00,1.224000000000000000e+03
1.000000000000000000e+00,1.421615490902643444e+02,3.074501417274036807e+00,1.224000000000000000e+03
1.100000000000000089e+00,1.521209619075906687e+02,3.318360034037485473e+00,1.224000000000000000e+03
1.200000000000000178e+00,1.618628416348450969e+02,3.546161112022295558e+00,1.224000000000000000e+03
1.300000000000000044e+00,1.708824355454677288e+02,3.764075806618403242e+00,1.224000000000000000e+03
1.400000000000000133e+00,1.795394729230048654e+02,3.953600567693023926e+00,1.224000000000000000e+03
1.500000000000000000e+00,1.875745308870276915e+02,4.075352133823077594e+00,1.224000000000000000e+03
1.600000000000000089e+00,1.953987226348039314e+02,4.153083506214237275e+00,1.224000000000000000e+03
1.700000000000000178e+00,2.035459320865992652e+02,4.202677184271248478e+00,1.224000000000000000e+03
1.800000000000000044e+00,2.121216616661083947e+02,4.240217510105651399e+00,1.224000000000000000e+03
1.900000000000000133e+00,2.215796181421720803e+02,4.282063322498302682e+00,1.224000000000000000e+03
2.000000000000000000e+00,2.315023695302603528e+02,4.304700588187699850e+00,1.224000000000000000e+03
