alpha,mean_glcm_contrast,sem,count
0.000000000000000000e+00,1.399829409183887776e+02,3.086725231844345885e+00,1.224000000000000000e+03
1.000000000000000056e-01,1.401414493204384257e+02,3.185250825765902238e+00,1.224000000000000000e+03
2.000000000000000111e-01,1.399465868466526217e+02,3.242679043964666885e+00,1.224000000000000000e+03
3.000000000000000444e-01,1.398714384019906163e+02,3.268410795874955088e+00,1.224000000000000000e+03
4.000000000000000222e-01,1.395656142867566700e+02,3.281963855162549848e+00,1.224000000000000000e+03
5.000000000000000000e-01,1.391849389448436796e+02,3.261466456506758149e+00,1.224000000000000000e+03
6.000000000000000888e-01,1.390852874902315364e+02,3.239509261105279592e+00,1.224000000000000000e+03
7.000000000000000666e-01,1.391501020514845948e+02,3.206272813348473250e+00,1.224000000000000000e+03
8.000000000000000444e-01,1.394797300108920979e+02,3.153222120315232413e+00,1.224000000000000000e+03
9.000000000000000222e-01,1.404525218611454420e+02,3.109102966648185973e+00,1.224000000000000000e+03
1.000000000000000000e+00,1.421615490902643444e+02,3.074501417274036807e+00,1.224000000000000000e+03
1.100000000000000089e+00,1.450130062991433135e+02,3.053069084125300314e+00,1.224000000000000000e+03
1.200000000000000178e+00,1.481208013259760889e+02,3.036888471966880498e+00,1.224000000000000000e+03
1.300000000000000044e+00,1.514780928111015896e+02,3.019095065788339749e+00,1.224000000000000000e+03
1.400000000000000133e+00,1.548041465970877084e+02,3.010395652692889445e+00,1.224000000000000000e+03
1.500000000000000000e+00,1.579216655600587558e+02,2.998773560312609110e+00,1.224000000000000000e+03
1.600000000000000089e+00,1.606825629238965405e+02,2.998391235877863714e+00,1.224000000000000000e+03
1.700000000000000178e+00,1.631903868424481630e+02,3.000076164574284832e+00,1.224000000000000000e+03
1.800000000000000044e+00,1.658470607748357679e+02,3.013860301344924775e+00,1.224000000000000000e+03
1.900000000000000133e+00,1.687193191730939361e+02,3.006087258952045538e+00,1.224000000000000000e+03
2.000000000000000000e+00,1.723533764514519930e+02,2.997254659263175469e+00,1.224000000000000000e+03
