alpha,mean_glcm_contrast,sem,count
0.000000000000000000e+00,8.925493018189487771e+01,6.775850815592593390e-01,1.224000000000000000e+03
1.000000000000000056e-01,8.995320314995561262e+01,6.929601910800584630e-01,1.224000000000000000e+03
2.000000000000000111e-01,9.065183686281261544e+01,7.057683767117354234e-01,1.224000000000000000e+03
3.000000000000000444e-01,9.188348187259279598e+01,7.207196483294368017e-01,1.224000000000000000e+03
4.000000000000000222e-01,9.421486268320921909e+01,7.518677784011645882e-01,1.224000000000000000e+03
5.000000000000000000e-01,9.859292868257911380e+01,8.461176388315334584e-01,1.224000000000000000e+03
6.000000000000000888e-01,1.058868840426386129e+02,1.290498991072985380e+00,1.224000000000000000e+03
7.000000000000000666e-01,1.175198352578008354e+02,2.542505453644754443e+00,1.224000000000000000e+03
8.000000000000000444e-01,1.256299693853953130e+02,2.691943677978920313e+00,1.224000000000000000e+03
9.000000000000000222e-01,1.338547972455453987e+02,2.842987151229950271e+00,1.224000000000000000e+03
1.000000000000000000e+00,1.421615490902643444e+02,3.074501417274036807e+00,1.224000000000000000e+03
1.100000000000000089e+00,1.504376757255996324e+02,3.325904764553973880e+00,1.224000000000000000e+03
1.200000000000000178e+00,1.576587739651046718e+02,3.553496772214086441e+00,1.224000000000000000e+03
1.300000000000000044e+00,1.641988236507794738e+02,3.760248002713195259e+00,1.224000000000000000e+03
1.400000000000000133e+00,1.700424107455503702e+02,3.940785304418927826e+00,1.224000000000000000e+03
1.500000000000000000e+00,1.754096478436431426e+02,4.098010808914736458e+00,1.224000000000000000e+03
1.600000000000000089e+00,1.801667550751156170e+02,4.224488912665216311e+00,1.224000000000000000e+03
1.700000000000000178e+00,1.846845506558348688e+02,4.324368216974134427e+00,1.224000000000000000e+03
1.800000000000000044e+00,1.891854553186874739e+02,4.412518814230711683e+00,1.224000000000000000e+03
1.900000000000000133e+00,1.935129329362153499e+02,4.476991647572040378e+00,1.224000000000000000e+03
2.000000000000000000e+00,1.978904961966204894e+02,4.521368698784241857e+00,1.224000000000000000e+03
