position_bp,is_alpha_0.0,is_alpha_0.4,is_alpha_0.8,is_alpha_1.2,is_alpha_1.6,is_alpha_2.0
2.124900000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.125100000000000000e+07,1.152458228170871735e-02,1.160774659365415573e-02,1.180635765194892883e-02,1.206966210156679153e-02,1.233951654285192490e-02,1.256054453551769257e-02
2.125300000000000000e+07,2.135555632412433624e-02,2.152615226805210114e-02,2.192593924701213837e-02,2.244785428047180176e-02,2.296282537281513214e-02,2.336690202355384827e-02
2.125500000000000000e+07,3.064567223191261292e-02,3.088383190333843231e-02,3.143595159053802490e-02,3.217774629592895508e-02,3.290177136659622192e-02,3.345736861228942871e-02
2.125700000000000000e+07,3.967687115073204041e-02,3.997750952839851379e-02,4.063947498798370361e-02,4.154665023088455200e-02,4.242257773876190186e-02,4.308598861098289490e-02
2.125900000000000000e+07,4.827325418591499329e-02,4.856190830469131470e-02,4.923641681671142578e-02,5.021363124251365662e-02,5.115772411227226257e-02,5.185711756348609924e-02
2.126100000000000000e+07,5.680884420871734619e-02,5.702321231365203857e-02,5.762930214405059814e-02,5.859772115945816040e-02,5.954279750585556030e-02,6.022782996296882629e-02
2.126300000000000000e+07,6.598099321126937866e-02,6.609624624252319336e-02,6.657701730728149414e-02,6.746532768011093140e-02,6.835494190454483032e-02,6.900199502706527710e-02
2.126500000000000000e+07,7.495343685150146484e-02,7.498408854007720947e-02,7.531894743442535400e-02,7.606010884046554565e-02,7.681249827146530151e-02,7.733948528766632080e-02
2.126700000000000000e+07,8.284646272659301758e-02,8.283744752407073975e-02,8.305381238460540771e-02,8.363401144742965698e-02,8.422811329364776611e-02,8.460980653762817383e-02
2.126900000000000000e+07,8.979348093271255493e-02,8.982200175523757935e-02,8.999099582433700562e-02,9.046649932861328125e-02,9.097158908843994141e-02,9.128340333700180054e-02
2.127100000000000000e+07,9.621448069810867310e-02,9.629146009683609009e-02,9.641277045011520386e-02,9.678825736045837402e-02,9.722946584224700928e-02,9.748960286378860474e-02
2.127300000000000000e+07,1.022130772471427917e-01,1.023189872503280640e-01,1.023534610867500305e-01,1.025926247239112854e-01,1.029561385512351990e-01,1.031399667263031006e-01
2.127500000000000000e+07,1.078321337699890137e-01,1.079915910959243774e-01,1.079479306936264038e-01,1.080433875322341919e-01,1.083302199840545654e-01,1.084500551223754883e-01
2.127700000000000000e+07,1.129471808671951294e-01,1.131984516978263855e-01,1.131132245063781738e-01,1.130604520440101624e-01,1.132317259907722473e-01,1.132454425096511841e-01
2.127900000000000000e+07,1.175913661718368530e-01,1.179486066102981567e-01,1.178403422236442566e-01,1.176263913512229919e-01,1.176239624619483948e-01,1.174548566341400146e-01
2.128100000000000000e+07,1.220064982771873474e-01,1.224870234727859497e-01,1.223676353693008423e-01,1.219993531703948975e-01,1.218338459730148315e-01,1.215196549892425537e-01
2.128300000000000000e+07,1.262620985507965088e-01,1.269016265869140625e-01,1.268005669116973877e-01,1.263127028942108154e-01,1.260411590337753296e-01,1.256699711084365845e-01
2.128500000000000000e+07,1.301470547914505005e-01,1.309561878442764282e-01,1.308972239494323730e-01,1.303168386220932007e-01,1.299473494291305542e-01,1.294961571693420410e-01
2.128700000000000000e+07,1.336217373609542847e-01,1.345954388380050659e-01,1.346130222082138062e-01,1.339889168739318848e-01,1.335326135158538818e-01,1.329582929611206055e-01
2.128900000000000000e+07,1.367035955190658569e-01,1.378372460603713989e-01,1.379727870225906372e-01,1.373683661222457886e-01,1.368626505136489868e-01,1.361702829599380493e-01
2.129100000000000000e+07,1.394343972206115723e-01,1.407212167978286743e-01,1.409973204135894775e-01,1.404439061880111694e-01,1.398903280496597290e-01,1.390535533428192139e-01
2.129300000000000000e+07,1.417779177427291870e-01,1.432024687528610229e-01,1.436142921447753906e-01,1.431156396865844727e-01,1.425094455480575562e-01,1.415059119462966919e-01
2.129500000000000000e+07,1.439431011676788330e-01,1.455071717500686646e-01,1.460604816675186157e-01,1.456332057714462280e-01,1.450031697750091553e-01,1.438811421394348145e-01
2.129700000000000000e+07,1.460021734237670898e-01,1.476886868476867676e-01,1.483763456344604492e-01,1.480270922183990479e-01,1.473935842514038086e-01,1.461978107690811157e-01
2.129900000000000000e+07,1.479394137859344482e-01,1.497176140546798706e-01,1.505187004804611206e-01,1.502330750226974487e-01,1.495805829763412476e-01,1.482998579740524292e-01
2.130100000000000000e+07,1.498736292123794556e-01,1.517244130373001099e-01,1.526328176259994507e-01,1.524185836315155029e-01,1.517596095800399780e-01,1.504114419221878052e-01
2.130300000000000000e+07,1.518921405076980591e-01,1.537941247224807739e-01,1.547872126102447510e-01,1.546310782432556152e-01,1.539606600999832153e-01,1.525444537401199341e-01
2.130500000000000000e+07,1.539769470691680908e-01,1.559082120656967163e-01,1.569484025239944458e-01,1.568088829517364502e-01,1.560803800821304321e-01,1.545418947935104370e-01
2.130700000000000000e+07,1.562066376209259033e-01,1.581617444753646851e-01,1.592347025871276855e-01,1.590917855501174927e-01,1.582940965890884399e-01,1.566389501094818115e-01
2.130900000000000000e+07,1.582590192556381226e-01,1.602410078048706055e-01,1.613585650920867920e-01,1.612346470355987549e-01,1.604041010141372681e-01,1.586664319038391113e-01
2.131100000000000000e+07,1.598380059003829956e-01,1.618486344814300537e-01,1.630372703075408936e-01,1.629765927791595459e-01,1.621573418378829956e-01,1.603512018918991089e-01
2.131300000000000000e+07,1.610471755266189575e-01,1.630942374467849731e-01,1.643662750720977783e-01,1.643426269292831421e-01,1.634871363639831543e-01,1.615727245807647705e-01
2.131500000000000000e+07,1.621069908142089844e-01,1.641684770584106445e-01,1.654972732067108154e-01,1.654282659292221069e-01,1.644275635480880737e-01,1.623367816209793091e-01
2.131700000000000000e+07,1.631684601306915283e-01,1.652387827634811401e-01,1.666282862424850464e-01,1.665224283933639526e-01,1.654004156589508057e-01,1.631688773632049561e-01
2.131900000000000000e+07,1.642722189426422119e-01,1.663736850023269653e-01,1.678631305694580078e-01,1.677889972925186157e-01,1.666504889726638794e-01,1.643730998039245605e-01
2.132100000000000000e+07,1.654912829399108887e-01,1.676456779241561890e-01,1.692539602518081665e-01,1.692425757646560669e-01,1.681243777275085449e-01,1.658108085393905640e-01
