position_bp,is_alpha_0.0,is_alpha_0.4,is_alpha_0.8,is_alpha_1.2,is_alpha_1.6,is_alpha_2.0
1.561700000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.561900000000000000e+07,1.468955259770154953e-02,1.468743570148944855e-02,1.474494487047195435e-02,1.466229092329740524e-02,1.415474805980920792e-02,1.296863052994012833e-02
1.562100000000000000e+07,2.812958508729934692e-02,2.804359607398509979e-02,2.799820713698863983e-02,2.771692909300327301e-02,2.690621837973594666e-02,2.503097802400588989e-02
1.562300000000000000e+07,4.044563695788383484e-02,4.029416665434837341e-02,4.012320935726165771e-02,3.964570537209510803e-02,3.863210231065750122e-02,3.636050224304199219e-02
1.562500000000000000e+07,5.165901407599449158e-02,5.144828930497169495e-02,5.115282535552978516e-02,5.049370601773262024e-02,4.939114302396774292e-02,4.703908786177635193e-02
1.562700000000000000e+07,6.194978207349777222e-02,6.166376173496246338e-02,6.124644353985786438e-02,6.040935963392257690e-02,5.926614254713058472e-02,5.697890743613243103e-02
1.562900000000000000e+07,7.142753154039382935e-02,7.108636200428009033e-02,7.056153565645217896e-02,6.959521770477294922e-02,6.851483136415481567e-02,6.636653840541839600e-02
1.563100000000000000e+07,8.010650426149368286e-02,7.976538687944412231e-02,7.917078584432601929e-02,7.813656330108642578e-02,7.723027467727661133e-02,7.528829574584960938e-02
1.563300000000000000e+07,8.802737295627593994e-02,8.767273277044296265e-02,8.699173480272293091e-02,8.586034178733825684e-02,8.505944162607192993e-02,8.321782946586608887e-02
1.563500000000000000e+07,9.531679004430770874e-02,9.491263329982757568e-02,9.412101656198501587e-02,9.283748269081115723e-02,9.200920164585113525e-02,9.012074768543243408e-02
1.563700000000000000e+07,1.019667983055114746e-01,1.015095114707946777e-01,1.006147861480712891e-01,9.917108714580535889e-02,9.825500100851058960e-02,9.628260135650634766e-02
1.563900000000000000e+07,1.079880818724632263e-01,1.074868217110633850e-01,1.065036058425903320e-01,1.049020439386367798e-01,1.038981005549430847e-01,1.019265800714492798e-01
1.564100000000000000e+07,1.133764460682868958e-01,1.128255948424339294e-01,1.117694526910781860e-01,1.100301146507263184e-01,1.089469194412231445e-01,1.070363521575927734e-01
1.564300000000000000e+07,1.181976869702339172e-01,1.176220402121543884e-01,1.165306344628334045e-01,1.146995946764945984e-01,1.135616078972816467e-01,1.117192953824996948e-01
1.564500000000000000e+07,1.225583702325820923e-01,1.219957619905471802e-01,1.209172829985618591e-01,1.190567538142204285e-01,1.178853511810302734e-01,1.160702034831047058e-01
1.564700000000000000e+07,1.265409439802169800e-01,1.259788125753402710e-01,1.249230578541755676e-01,1.230275854468345642e-01,1.217668280005455017e-01,1.199139803647994995e-01
1.564900000000000000e+07,1.301686763763427734e-01,1.295788437128067017e-01,1.285385489463806152e-01,1.265926510095596313e-01,1.252151578664779663e-01,1.233045011758804321e-01
1.565100000000000000e+07,1.334315538406372070e-01,1.328406929969787598e-01,1.318448185920715332e-01,1.299146115779876709e-01,1.285244375467300415e-01,1.266180127859115601e-01
1.565300000000000000e+07,1.363694071769714355e-01,1.358455717563629150e-01,1.349430382251739502e-01,1.330886632204055786e-01,1.317615956068038940e-01,1.299117952585220337e-01
1.565500000000000000e+07,1.390324085950851440e-01,1.385680735111236572e-01,1.377365589141845703e-01,1.358597129583358765e-01,1.344020366668701172e-01,1.324152052402496338e-01
1.565700000000000000e+07,1.414727568626403809e-01,1.409880518913269043e-01,1.401681452989578247e-01,1.381336301565170288e-01,1.362976729869842529e-01,1.339156329631805420e-01
1.565900000000000000e+07,1.436327546834945679e-01,1.431199908256530762e-01,1.423260420560836792e-01,1.401866525411605835e-01,1.380302011966705322e-01,1.352988779544830322e-01
1.566100000000000000e+07,1.454333811998367310e-01,1.449432969093322754e-01,1.442291736602783203e-01,1.421339660882949829e-01,1.398987621068954468e-01,1.370623856782913208e-01
1.566300000000000000e+07,1.469238251447677612e-01,1.464606523513793945e-01,1.458351761102676392e-01,1.438599675893783569e-01,1.416562497615814209e-01,1.388165801763534546e-01
1.566500000000000000e+07,1.482853293418884277e-01,1.478086858987808228e-01,1.472269892692565918e-01,1.453686803579330444e-01,1.432277709245681763e-01,1.404348164796829224e-01
1.566700000000000000e+07,1.496071815490722656e-01,1.490989178419113159e-01,1.485319584608078003e-01,1.467591673135757446e-01,1.446711122989654541e-01,1.419647634029388428e-01
1.566900000000000000e+07,1.507620066404342651e-01,1.502049714326858521e-01,1.496342420578002930e-01,1.479045599699020386e-01,1.457913815975189209e-01,1.430778950452804565e-01
1.567100000000000000e+07,1.518665850162506104e-01,1.512323766946792603e-01,1.506287604570388794e-01,1.489082127809524536e-01,1.467181444168090820e-01,1.439067721366882324e-01
1.567300000000000000e+07,1.528927385807037354e-01,1.521886289119720459e-01,1.515676230192184448e-01,1.498793959617614746e-01,1.476395279169082642e-01,1.447494775056838989e-01
1.567500000000000000e+07,1.538221389055252075e-01,1.530313938856124878e-01,1.523781716823577881e-01,1.507299691438674927e-01,1.484884321689605713e-01,1.455943137407302856e-01
1.567700000000000000e+07,1.546381115913391113e-01,1.537579894065856934e-01,1.530779451131820679e-01,1.515081971883773804e-01,1.493369936943054199e-01,1.465153843164443970e-01
1.567900000000000000e+07,1.553332954645156860e-01,1.543969959020614624e-01,1.537147909402847290e-01,1.522625088691711426e-01,1.502154320478439331e-01,1.475582718849182129e-01
1.568100000000000000e+07,1.559133976697921753e-01,1.549300700426101685e-01,1.542548239231109619e-01,1.529179066419601440e-01,1.509790271520614624e-01,1.484870910644531250e-01
1.568300000000000000e+07,1.564611196517944336e-01,1.554107517004013062e-01,1.547280251979827881e-01,1.534702777862548828e-01,1.515757143497467041e-01,1.491705775260925293e-01
1.568500000000000000e+07,1.569304615259170532e-01,1.558096855878829956e-01,1.551216989755630493e-01,1.539389342069625854e-01,1.520814448595046997e-01,1.497518271207809448e-01
1.568700000000000000e+07,1.571751683950424194e-01,1.559947729110717773e-01,1.553161144256591797e-01,1.542115509510040283e-01,1.523700058460235596e-01,1.501004248857498169e-01
1.568900000000000000e+07,1.570883244276046753e-01,1.558520048856735229e-01,1.551970541477203369e-01,1.541944444179534912e-01,1.523402482271194458e-01,1.500872820615768433e-01
1.569100000000000000e+07,1.569214463233947754e-01,1.556250452995300293e-01,1.549973040819168091e-01,1.541047096252441406e-01,1.522167026996612549e-01,1.499648094177246094e-01
1.569300000000000000e+07,1.568364351987838745e-01,1.554712206125259399e-01,1.548563092947006226e-01,1.540457755327224731e-01,1.521040052175521851e-01,1.498558670282363892e-01
1.569500000000000000e+07,1.567464768886566162e-01,1.553246378898620605e-01,1.547303646802902222e-01,1.540056020021438599e-01,1.520158052444458008e-01,1.497680395841598511e-01
1.569700000000000000e+07,1.566422879695892334e-01,1.551952809095382690e-01,1.546390205621719360e-01,1.540124416351318359e-01,1.520092487335205078e-01,1.497982740402221680e-01
1.569900000000000000e+07,1.565132588148117065e-01,1.550511866807937622e-01,1.545367687940597534e-01,1.539920866489410400e-01,1.519720256328582764e-01,1.498293876647949219e-01
1.570100000000000000e+07,1.563885062932968140e-01,1.548796743154525757e-01,1.543707698583602905e-01,1.538488864898681641e-01,1.517360657453536987e-01,1.495587527751922607e-01
1.570300000000000000e+07,1.561901420354843140e-01,1.546112596988677979e-01,1.540896445512771606e-01,1.535512208938598633e-01,1.512595266103744507e-01,1.488994657993316650e-01
1.570500000000000000e+07,1.559843420982360840e-01,1.543467938899993896e-01,1.538102477788925171e-01,1.532533615827560425e-01,1.507918089628219604e-01,1.482421159744262695e-01
1.570700000000000000e+07,1.558110713958740234e-01,1.541263014078140259e-01,1.535792648792266846e-01,1.530039459466934204e-01,1.503956764936447144e-01,1.477128714323043823e-01
1.570900000000000000e+07,1.556847989559173584e-01,1.539408266544342041e-01,1.533683091402053833e-01,1.527466028928756714e-01,1.499929428100585938e-01,1.472104787826538086e-01
1.571100000000000000e+07,1.555505990982055664e-01,1.537427455186843872e-01,1.531448215246200562e-01,1.524595320224761963e-01,1.495458632707595825e-01,1.466683596372604370e-01
1.571300000000000000e+07,1.554241925477981567e-01,1.535646319389343262e-01,1.529446095228195190e-01,1.521603167057037354e-01,1.490495055913925171e-01,1.460494995117187500e-01
1.571500000000000000e+07,1.552726030349731445e-01,1.533543914556503296e-01,1.526972204446792603e-01,1.517767906188964844e-01,1.484243124723434448e-01,1.452500969171524048e-01
