position_bp,is_alpha_0.0,is_alpha_0.4,is_alpha_0.8,is_alpha_1.2,is_alpha_1.6,is_alpha_2.0
2.124900000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.125100000000000000e+07,1.276763901114463806e-02,1.228566560894250870e-02,1.200116798281669617e-02,1.190452743321657181e-02,1.192681305110454559e-02,1.201490405946969986e-02
2.125300000000000000e+07,2.390401251614093781e-02,2.287692204117774963e-02,2.230812050402164459e-02,2.213212847709655762e-02,2.220001630485057831e-02,2.239696681499481201e-02
2.125500000000000000e+07,3.408997878432273865e-02,3.268207609653472900e-02,3.194775059819221497e-02,3.175613656640052795e-02,3.190265223383903503e-02,3.223051503300666809e-02
2.125700000000000000e+07,4.356979578733444214e-02,4.196671023964881897e-02,4.120307415723800659e-02,4.109003767371177673e-02,4.138188809156417847e-02,4.189598932862281799e-02
2.125900000000000000e+07,5.218289047479629517e-02,5.048502236604690552e-02,4.976821690797805786e-02,4.980269819498062134e-02,5.029829964041709900e-02,5.104262381792068481e-02
2.126100000000000000e+07,6.018224731087684631e-02,5.858713388442993164e-02,5.804543197154998779e-02,5.830750241875648499e-02,5.906555429100990295e-02,6.007320061326026917e-02
2.126300000000000000e+07,6.812521815299987793e-02,6.695332378149032593e-02,6.678161025047302246e-02,6.737626343965530396e-02,6.846082955598831177e-02,6.976477056741714478e-02
2.126500000000000000e+07,7.569218426942825317e-02,7.500223070383071899e-02,7.525981217622756958e-02,7.622242718935012817e-02,7.763497531414031982e-02,7.921612262725830078e-02
2.126700000000000000e+07,8.261086791753768921e-02,8.219676464796066284e-02,8.276517689228057861e-02,8.402228355407714844e-02,8.568648993968963623e-02,8.746455609798431396e-02
2.126900000000000000e+07,8.897247165441513062e-02,8.871535211801528931e-02,8.952599018812179565e-02,9.103193134069442749e-02,9.291567653417587280e-02,9.486615657806396484e-02
2.127100000000000000e+07,9.477987140417098999e-02,9.470817446708679199e-02,9.577165544033050537e-02,9.752649068832397461e-02,9.963253885507583618e-02,1.017546430230140686e-01
2.127300000000000000e+07,1.001477167010307312e-01,1.002450659871101379e-01,1.015332266688346863e-01,1.035005673766136169e-01,1.057892516255378723e-01,1.080389544367790222e-01
2.127500000000000000e+07,1.051325574517250061e-01,1.054209321737289429e-01,1.069462373852729797e-01,1.091207414865493774e-01,1.115790829062461853e-01,1.139441803097724915e-01
2.127700000000000000e+07,1.096309572458267212e-01,1.101464480161666870e-01,1.119321957230567932e-01,1.143098846077919006e-01,1.169142946600914001e-01,1.193672120571136475e-01
2.127900000000000000e+07,1.137669384479522705e-01,1.144832968711853027e-01,1.164984777569770813e-01,1.190377399325370789e-01,1.217344850301742554e-01,1.242157444357872009e-01
2.128100000000000000e+07,1.176229715347290039e-01,1.185844987630844116e-01,1.208579614758491516e-01,1.235759556293487549e-01,1.263614445924758911e-01,1.288495808839797974e-01
2.128300000000000000e+07,1.211711093783378601e-01,1.224738955497741699e-01,1.250941157341003418e-01,1.280766874551773071e-01,1.310170590877532959e-01,1.335571557283401489e-01
2.128500000000000000e+07,1.243840530514717102e-01,1.260541081428527832e-01,1.290155053138732910e-01,1.322478652000427246e-01,1.353328973054885864e-01,1.379266381263732910e-01
2.128700000000000000e+07,1.273813247680664062e-01,1.293879598379135132e-01,1.326185315847396851e-01,1.360302120447158813e-01,1.392084956169128418e-01,1.418275386095046997e-01
2.128900000000000000e+07,1.302092224359512329e-01,1.325160264968872070e-01,1.359387785196304321e-01,1.394480764865875244e-01,1.426410079002380371e-01,1.452075392007827759e-01
2.129100000000000000e+07,1.328336596488952637e-01,1.354136466979980469e-01,1.389731168746948242e-01,1.425150483846664429e-01,1.456532478332519531e-01,1.480894982814788818e-01
2.129300000000000000e+07,1.351032555103302002e-01,1.379435062408447266e-01,1.416127681732177734e-01,1.451688557863235474e-01,1.482489705085754395e-01,1.505641341209411621e-01
2.129500000000000000e+07,1.371128708124160767e-01,1.402621567249298096e-01,1.440723687410354614e-01,1.476770341396331787e-01,1.507480293512344360e-01,1.530090123414993286e-01
2.129700000000000000e+07,1.389741450548171997e-01,1.424558758735656738e-01,1.464069187641143799e-01,1.500538736581802368e-01,1.531173884868621826e-01,1.553360670804977417e-01
