position_bp,is_alpha_0.0,is_alpha_0.4,is_alpha_0.8,is_alpha_1.2,is_alpha_1.6,is_alpha_2.0
1.045770000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.045790000000000000e+08,1.462761312723159790e-02,1.484465133398771286e-02,1.517850998789072037e-02,1.556241977959871292e-02,1.585506647825241089e-02,1.567063853144645691e-02
1.045810000000000000e+08,2.757888659834861755e-02,2.790435403585433960e-02,2.841287106275558472e-02,2.905022352933883667e-02,2.955890633165836334e-02,2.931039407849311829e-02
1.045830000000000000e+08,3.881004452705383301e-02,3.925032913684844971e-02,3.991010412573814392e-02,4.075698181986808777e-02,4.144946858286857605e-02,4.110637679696083069e-02
1.045850000000000000e+08,4.873663932085037231e-02,4.924610629677772522e-02,5.002800375223159790e-02,5.102659389376640320e-02,5.176076665520668030e-02,5.118825286626815796e-02
1.045870000000000000e+08,5.792014300823211670e-02,5.841347575187683105e-02,5.920634418725967407e-02,6.020566821098327637e-02,6.081352755427360535e-02,5.995306745171546936e-02
1.045890000000000000e+08,6.611748784780502319e-02,6.652490049600601196e-02,6.719648092985153198e-02,6.796741485595703125e-02,6.821841746568679810e-02,6.705171614885330200e-02
1.045910000000000000e+08,7.300809770822525024e-02,7.332159578800201416e-02,7.380013912916183472e-02,7.415389269590377808e-02,7.384216040372848511e-02,7.233523577451705933e-02
1.045930000000000000e+08,7.862769067287445068e-02,7.888744771480560303e-02,7.920245081186294556e-02,7.910756021738052368e-02,7.814702391624450684e-02,7.624654471874237061e-02
1.045950000000000000e+08,8.333218842744827271e-02,8.361530303955078125e-02,8.389432728290557861e-02,8.352308720350265503e-02,8.206448704004287720e-02,7.978182286024093628e-02
1.045970000000000000e+08,8.783482015132904053e-02,8.824969083070755005e-02,8.867901563644409180e-02,8.830694109201431274e-02,8.660060167312622070e-02,8.399952948093414307e-02
1.045990000000000000e+08,9.273897111415863037e-02,9.333181381225585938e-02,9.397046267986297607e-02,9.373996406793594360e-02,9.200257062911987305e-02,8.926213532686233521e-02
1.046010000000000000e+08,9.798105061054229736e-02,9.870874881744384766e-02,9.949126094579696655e-02,9.939139336347579956e-02,9.773220866918563843e-02,9.507019817829132080e-02
1.046030000000000000e+08,1.030463799834251404e-01,1.038589552044868469e-01,1.047205105423927307e-01,1.047126725316047668e-01,1.031670719385147095e-01,1.007037758827209473e-01
1.046050000000000000e+08,1.076675951480865479e-01,1.085338518023490906e-01,1.094429269433021545e-01,1.094940751791000366e-01,1.080450415611267090e-01,1.058024764060974121e-01
1.046070000000000000e+08,1.118225082755088806e-01,1.127324625849723816e-01,1.136833578348159790e-01,1.137681156396865845e-01,1.123770028352737427e-01,1.103408634662628174e-01
1.046090000000000000e+08,1.154579818248748779e-01,1.164108887314796448e-01,1.174047514796257019e-01,1.175085827708244324e-01,1.161425188183784485e-01,1.143055930733680725e-01
1.046110000000000000e+08,1.186753362417221069e-01,1.196571364998817444e-01,1.206902414560317993e-01,1.208273395895957947e-01,1.194955930113792419e-01,1.178807318210601807e-01
1.046130000000000000e+08,1.218116655945777893e-01,1.228207200765609741e-01,1.238925829529762268e-01,1.240711063146591187e-01,1.227780953049659729e-01,1.213736161589622498e-01
1.046150000000000000e+08,1.248389258980751038e-01,1.258649975061416626e-01,1.269675344228744507e-01,1.271819174289703369e-01,1.259035021066665649e-01,1.246616765856742859e-01
1.046170000000000000e+08,1.273960769176483154e-01,1.284549832344055176e-01,1.295958906412124634e-01,1.298094987869262695e-01,1.284644901752471924e-01,1.272993385791778564e-01
1.046190000000000000e+08,1.295081377029418945e-01,1.306163370609283447e-01,1.317986100912094116e-01,1.319686621427536011e-01,1.304743140935897827e-01,1.293002665042877197e-01
